start,27900
dump,60.2485199999137
link,4000000013047278,+,2,3.755
link,4000000012474130,-,15,3.826
dump,180.14903999974194
link,4000000013103797,+,8,1.904
link,4000000012482467,+,37,1.891
link,4000000012501486,-,5,1.908
link,4000000012501433,-,1,1.941
link,4000000013103970,-,23,1.928
link,4000000013104266,-,7,1.898
link,4000000012495037,-,1,2
link,4000000013081836,+,1,1.882
link,4000000013104275,+,1,1.92
link,4000000012501321,-,6,1.973
link,4000000013104012,-,1,1.857
link,4000000013104432,-,1,1.917
link,4000000013081422,+,5,1.942
link,4000000013103690,-,16,1.863
link,4000000012494981,-,1,1.933
link,4000000013104199,+,10,1.835
link,4000000013103717,+,1,1.861
link,4000000013104170,+,6,1.884
link,4000000013081349,-,5,1.908
link,4000000012505045,-,1,1
link,4000000013081249,-,2,3.862
link,4000000013562426,+,1,2
link,4000000013081625,-,1,1.778
link,4000000012501597,-,1,2
link,4000000013104006,+,5,1.923
link,4000000013081378,+,33,1.907
link,4000000013103972,-,19,1.908
link,4000000013081328,+,2,1.25
link,4000000013104221,+,19,1.867
link,4000000013103800,+,9,1.866
link,4000000013080779,+,3,1.892
link,4000000013104008,+,3,1.909
link,4000000013081503,-,1,1.857
link,4000000012501327,+,2,1.895
link,4000000012495062,-,3,1.915
link,4000000013081377,-,8,1.92
link,4000000013104629,+,7,1.923
link,4000000013104297,+,2,1.833
link,4000000012474130,-,31,3.876
link,4000000012495047,-,12,1.876
link,4000000012495141,-,3,1.873
link,4000000013081348,+,6,1.941
link,4000000012505242,+,1,1.6
link,4000000012482489,-,3,1.805
link,4000000013104612,+,1,1.667
link,4000000012505346,-,46,1.899
link,4000000013103731,+,1,1.6
link,4000000013081557,+,2,1.813
link,4000000012501375,-,10,1.887
link,4000000012495145,-,1,1.846
link,4000000013104336,-,1,1.9
link,4000000013104159,+,5,1.931
link,4000000012494525,-,2,1.897
link,4000000012495000,-,2,1.879
link,4000000013103983,+,2,1.932
link,4000000012501403,+,1,1.778
link,4000000013104395,+,2,1.964
link,4000000013562424,-,1,1.887
link,4000000013104009,-,9,1.869
link,4000000013080862,-,22,1.895
link,4000000013104171,+,5,1.862
link,4000000012545423,+,31,1.908
link,4000000013103913,-,8,1.885
link,4000000012494966,+,3,1.934
link,4000000012507465,-,2,1
link,4000000013081528,-,18,1.893
link,4000000012495007,-,5,1.949
link,4000000013081234,+,17,1.943
link,4000000013104342,-,1,1.867
link,4000000013104236,-,1,1.955
link,4000000012478038,-,20,1.898
link,4000000013104031,-,1,1.917
link,4000000013081280,-,1,1.167
link,4000000012501574,-,9,1.856
link,4000000012487674,-,1,1.913
link,4000000013081531,+,5,1.907
link,4000000013081075,-,1,2.111
link,4000000012495003,+,6,1.902
link,4000000012494859,+,15,1.894
link,4000000012501507,+,6,1.793
link,4000000013081517,-,3,1.959
link,4000000013081549,+,1,1.958
link,4000000012501650,+,5,1.045
link,4000000012526365,-,3,1.818
link,4000000013081263,+,1,3.897
link,4000000013081849,+,5,1.863
link,4000000013081538,+,10,1.876
link,4000000013104346,-,1,1.8
link,4000000013081344,+,6,1.855
link,4000000012487914,+,2,1.798
link,4000000013610034,+,25,1.908
link,4000000012495114,-,22,1.899
link,4000000013103943,+,1,1.909
link,4000000013104311,-,1,1.833
link,4000000013103947,-,8,1.971
link,4000000013081431,+,4,3.375
link,4000000013081763,+,5,1.84
link,4000000013081243,+,5,1.887
link,4000000012495124,-,1,1.9
link,4000000012501605,+,10,1.899
link,4000000013081370,+,34,1.893
link,4000000013104157,-,25,1.875
link,4000000013103930,-,37,1.891
link,4000000013103988,+,10,1.912
link,4000000013610042,+,9,1.882
link,4000000013081498,-,4,1.896
link,4000000012495062,+,12,1.907
link,4000000012541763,+,1,1.852
link,4000000013104228,+,3,1.827
link,4000000013103916,-,3,1.888
link,4000000013104607,+,6,1.943
link,4000000013104437,-,5,1.917
link,4000000013081697,+,1,1.875
link,4000000013104430,-,1,1.857
link,4000000012495121,+,7,1.88
link,4000000012495165,+,2,1.915
link,4000000013103946,-,6,1.89
link,4000000013103688,-,2,1.855
link,4000000013081294,+,12,1.141
link,4000000013080936,+,3,3.929
link,4000000013080890,+,24,1.877
link,4000000013081681,-,8,1.932
link,4000000012487993,-,1,1.867
link,4000000012494831,+,10,1.893
link,4000000012495177,+,1,1.824
link,4000000013081390,+,6,1.908
link,4000000013103988,-,39,1.899
link,4000000013081480,+,2,1.889
link,4000000013080864,-,5,1.854
link,4000000012501475,+,30,1.87
link,4000000013081708,-,1,1.75
link,4000000013081750,+,1,1.909
link,4000000013081271,-,2,1.947
link,4000000012494983,+,31,1.88
link,4000000013081824,-,1,1.909
link,4000000013103809,+,2,1.97
link,4000000013104551,+,1,1.9
link,4000000012501274,+,1,1.947
link,4000000013081531,-,1,1.806
link,4000000012482472,+,1,1.81
link,4000000012494969,-,17,1.898
link,4000000013081333,+,7,1.929
link,4000000012506904,+,3,1.867
link,4000000012526483,-,1,1.333
link,4000000013081705,-,4,1.923
link,4000000013103689,-,12,1.872
link,4000000013103853,+,4,1.933
link,4000000013104317,+,4,1.934
link,4000000013081796,-,3,1.954
link,4000000013080865,+,19,1.892
link,4000000013104034,+,20,1.861
link,4000000013104289,+,1,1.85
link,4000000013104539,-,4,1.826
link,4000000013081894,-,2,1.875
link,4000000013103736,-,18,1.887
link,4000000013080877,-,8,1.93
link,4000000013104354,-,3,1.906
link,4000000013104200,+,3,1.873
link,4000000013610057,+,1,1.75
link,4000000013104143,-,1,1.842
link,4000000012501625,-,1,1.95
link,4000000013103768,+,14,1.898
link,4000000013081354,+,6,1.861
link,4000000012487964,-,35,1.873
link,4000000013103788,+,4,1.919
link,4000000012494877,-,1,1.778
link,4000000013562423,+,3,1.95
link,4000000013081740,-,2,1.839
link,4000000013103949,-,5,1.892
link,4000000012501476,+,30,1.91
link,4000000013081314,+,1,1
link,4000000013081696,+,1,1.667
link,4000000012482469,-,1,1.897
link,4000000013080879,+,4,1.912
link,4000000013081295,-,2,1.033
link,4000000013081646,+,9,1.927
link,4000000012487923,+,21,1.896
link,4000000013080807,-,17,1.9
link,4000000013103921,-,19,1.898
link,4000000012478053,-,7,1.914
link,4000000013104288,+,2,1.935
link,4000000012505311,-,1,2
link,4000000012495055,-,1,1.778
link,4000000013081852,+,3,1.857
link,4000000012495008,+,2,1.714
link,4000000013103823,+,6,1.906
link,4000000012495123,+,9,1.887
link,4000000013103735,-,1,1
link,4000000013104323,-,2,1.8
link,4000000013680938,+,3,1.333
link,4000000012494878,-,6,1.917
link,4000000013081542,-,2,1.943
link,4000000012487959,-,7,1.894
link,4000000012501560,-,2,1.886
link,4000000012528922,-,2,1.8
link,4000000012501405,-,1,1.889
link,4000000013104029,+,8,1.876
link,4000000012501390,-,2,1.95
link,4000000013080885,-,1,2
link,4000000012487859,-,7,1.904
link,4000000012494970,+,4,1.931
link,4000000013081690,-,2,1.842
link,4000000013080912,-,1,2
link,4000000012528948,+,1,1.5
link,4000000013104358,+,6,1.825
link,4000000013081871,-,10,1.865
link,4000000013103768,-,10,1.917
link,4000000013104389,+,18,1.908
link,4000000013080811,+,15,1.904
link,4000000013081489,-,12,1.854
link,4000000013104032,-,4,1.927
link,4000000012522599,-,1,1.75
link,4000000012494858,+,14,1.917
link,4000000013081762,-,1,1.958
link,4000000013103991,+,3,1.845
link,4000000012495019,+,1,1.852
link,4000000013104251,+,4,1.935
link,4000000012487854,-,2,1.818
link,4000000013103694,+,4,1.878
link,4000000013103982,+,9,1.88
link,4000000013103948,-,34,1.861
link,4000000013104984,-,2,2
link,4000000013104049,-,3,1
link,4000000013081371,-,6,1.898
link,4000000013081785,-,1,1.906
link,4000000012528909,+,6,1.896
link,4000000012495120,+,8,1.945
link,4000000012482485,-,1,1.981
link,4000000013104285,+,1,1.824
link,4000000013610153,-,30,1.935
link,4000000013080866,+,1,1.913
link,4000000012487953,-,4,1.917
link,4000000013081276,+,13,1.81
link,4000000013104394,+,2,1.854
link,4000000012526459,-,1,1.75
link,4000000013104291,+,1,1.9
link,4000000013103754,+,4,1.861
link,4000000013080888,+,2,3.5
link,4000000013081240,+,7,1.08
link,4000000012487967,+,3,1.884
link,4000000012501395,+,3,1.922
link,4000000013103959,-,22,1.878
link,4000000012507464,-,25,1
link,4000000013104049,+,2,1.074
link,4000000012505260,+,2,1.722
link,4000000013104237,+,1,1.938
